2640	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	A conforming implementation MUST provide schema-directed validation.
3561	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	For the purposes of reference constraints, a reference value `v` MUST be one of:
3566	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	Given a reference value `v`, its resolved IRI `r` MUST be computed as follows:
3571	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	- Otherwise, `v` MUST be treated as unresolved.
3572	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	- Otherwise, `v` MUST be treated as unresolved.
3574	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	Derived validation artifacts MUST support `ReferenceConstraint(type=ReferenceTargetsEntity)`.
3576	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	`ReferenceTargetsEntity` MUST mean:
3579	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	- A violation MUST be reported if `v` is treated as unresolved.
3580	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.10 Reference Constraints (Deterministic Resolution and Targets)	- A violation MUST be reported unless there exists a node `n` in the same Document such that:
3586	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.11 Reference Constraints (Targets a Concept)	Derived validation artifacts MUST support `ReferenceConstraint(type=ReferenceTargetsConcept, conceptSelector=X)`.
3588	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.11 Reference Constraints (Targets a Concept)	`ReferenceTargetsConcept` MUST mean:
3591	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.11 Reference Constraints (Targets a Concept)	- A violation MUST be reported if `v` is treated as unresolved.
3592	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.11 Reference Constraints (Targets a Concept)	- A violation MUST be reported unless there exists a node `n` in the same Document such that:
3598	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.12 Reference Constraints (Must Resolve)	Derived validation artifacts MUST support `ReferenceConstraint(type=ReferenceMustResolve)`.
3600	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.12 Reference Constraints (Must Resolve)	`ReferenceMustResolve` MUST mean:
3603	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.12 Reference Constraints (Must Resolve)	- A violation MUST be reported if `v` is treated as unresolved.
3604	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.12 Reference Constraints (Must Resolve)	- A violation MUST be reported unless there exists a node `n` in the same Document such that `(n, codex:declaredId, r)` holds.
3606	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.12 Reference Constraints (Must Resolve)	The projection of a derived validation artifact to a concrete RDF syntax MUST be exactly:
3613	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.10 Failure Rules (No Guessing)	Schema processing, schema-driven validation, instance-graph mapping, and derived-artifact projection MUST fail with an appropriate error rather than guess when required information is missing or ambiguous.
3615	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.10 Failure Rules (No Guessing)	Processing MUST fail in any of the following cases:
3634	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.2 Preconditions	The expansion MUST fail with a `SchemaError` (§14) if any precondition defined in §9.9 is violated.
3654	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	The expansion MUST emit one SHACL property shape node `PS` with:
3660	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	`PS` MUST be `propertyShapeIri(NS, t)`.
3664	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	- `RequiresTrait` MUST emit `(PS, sh:minCount, "1"^^xsd:integer)`.
3665	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	- `ForbidsTrait` MUST emit `(PS, sh:maxCount, "0"^^xsd:integer)`.
3669	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	- When a value type token maps to an RDF datatype IRI, the expansion MUST emit `(PS, sh:datatype, datatypeIri)`.
3670	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	- When a value type token constrains by enumerated set, the expansion MUST emit `(PS, sh:in, listNodeIri)` and MUST emit the RDF list structure using deterministic skolem IRIs (see §9.6.3).
3672	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.4 TraitRules → SHACL Property Shapes	Any value-type token without a defined mapping MUST cause expansion failure with a `SchemaError` (§14).
3678	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.5 ChildRules → SHACL Property Shapes	The expansion MUST emit one SHACL property shape node `PS` with:
3684	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.5 ChildRules → SHACL Property Shapes	`PS` MUST be `propertyShapeIri(NS, Q)`.
3688	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.5 ChildRules → SHACL Property Shapes	- `RequiresChildConcept` MUST emit `(PS, sh:minCount, "1"^^xsd:integer)`.
3689	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.5 ChildRules → SHACL Property Shapes	- `ForbidsChildConcept` MUST emit `(PS, sh:maxCount, "0"^^xsd:integer)`.
3691	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.5 ChildRules → SHACL Property Shapes	When the child relationship restricts child type, the expansion MUST emit `(PS, sh:class, Q)`.
3695	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints	ConstraintDefinitions MUST expand to SHACL constraints.
3699	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.1 General Rule	Each Codex constraint type defined by the schema-definition specification MUST map to either:
3704	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.1 General Rule	If a constraint type cannot be expressed without inventing semantics not defined by this specification and the schema-definition specification, expansion MUST fail with a `SchemaError` (§14).
3706	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.1 General Rule	Atomic constraint mappings that are defined by this specification MUST follow §9.9.
3712	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total)	If the rule algebra tree contains an atomic constraint whose required mapping is undefined, expansion MUST fail with a `SchemaError` (§14).
3716	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	For any `ConstraintDefinition`, expansion MUST emit exactly one SHACL-SPARQL constraint query per target shape.
3718	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	The query MUST be a `SELECT` query that returns one row per violating focus node using the SHACL-SPARQL convention:
3720	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	- The focus node variable MUST be `?this`.
3721	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	- A row returned by the query MUST indicate a violation.
3723	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	The query MUST have the following canonical structure:
3733	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	`<TARGET_BINDING>` MUST bind `?this` to the set of focus nodes implied by the constraint's targets.
3735	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	The target binding MUST be:
3742	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	If target binding cannot be expressed without ambiguity (for example, the target selector is not resolvable), expansion MUST fail with a `SchemaError` (§14).
3744	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.1 Canonical SPARQL Form	`<HOLD_EXPR>` MUST be computed by the function `H(rule, ctx, focusVar)` defined below, with `focusVar` set to `?this`.
3748	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.2 Deterministic Variable Allocation	Expansion MUST allocate internal variable names deterministically.
3750	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.2 Deterministic Variable Allocation	Expansion MUST walk the rule tree in pre-order.
3752	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.2 Deterministic Variable Allocation	For the k-th node visited (1-indexed), the expansion context `ctx` MUST define a node-local suffix `k`.
3754	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.2 Deterministic Variable Allocation	Any internal variable introduced while translating that node MUST be named by appending `k` to a base name.
3761	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.2 Deterministic Variable Allocation	Variables introduced for one rule node MUST NOT be referenced outside the `EXISTS { ... }` block created for that node.
3767	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.3 The `H(rule, ctx, focusVar)` Function	If `focusVar` is omitted, it MUST be `?this`.
3769	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.3 The `H(rule, ctx, focusVar)` Function	`H(rule, ctx, focusVar)` MUST be computed as follows.
3799	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	If `rule` is atomic, `H(rule, ctx, focusVar)` MUST be a SPARQL `EXISTS { ... }` form or an `EXISTS`-free boolean constant.
3801	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	For atomic rules whose SHACL Core mapping is defined in §9.9, expansion MUST define `H(rule, ctx, focusVar)` using only SPARQL 1.1 constructs.
3803	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	If an atomic rule cannot be expressed as a SPARQL boolean expression without inventing additional semantics, expansion MUST fail with a `SchemaError` (§14).
3805	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	For atomic rules mapped in §9.9, the `H` translation MUST be:
3811	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	Here `?vK` MUST follow the deterministic variable allocation rule in §9.11.6.2.2.
3813	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.4 Atomic Rules as `EXISTS` Blocks	If `value` in a `TraitEquals` rule is a collection value (List, Set, Map, Record, Tuple, or Range), derived validation artifact generation MUST fail with a `SchemaError` (§14). Collection equality is not expressible as a single-triple SPARQL pattern.
3817	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.5 One-Way Representation Rule	When a `ConstraintDefinition` uses rule algebra (i.e., contains `AllOf`, `AnyOf`, `Not`, or `ConditionalConstraint` anywhere in its rule tree), expansion MUST express that constraint definition using SHACL-SPARQL only.
3819	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.2 Rule Algebra → SHACL-SPARQL (Total) > 9.11.6.2.5 One-Way Representation Rule	Expansion MUST NOT additionally emit independent SHACL Core constraints for the same `ConstraintDefinition`.
3823	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total)	The path operators (`TraitPath`, `ChildPath`, `DescendantPath`, `ContentPath`) and quantifier operators (`OnPathExists`, `OnPathForAll`, `OnPathCount`) MUST be expressed using SHACL-SPARQL.
3829	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.1 Path Binding Function	`B` MUST be computed as follows.
3865	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.1 Path Binding Function	If `conceptSelector` cannot be resolved to a unique `ConceptDefinition`, expansion MUST fail with a `SchemaError` (§14).
3877	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	The nested rule MUST be evaluated with `focusVar` set to `xVar`.
3881	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	`OnPathExists(path, r)` MUST translate to:
3892	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	`OnPathForAll(path, r)` MUST translate to:
3903	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	`OnPathCount(path, r, minCount=m?, maxCount=n?)` MUST translate to a COUNT-based boolean condition.
3905	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	If both `minCount` and `maxCount` are absent, expansion MUST fail with a `SchemaError` (§14).
3907	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	The expansion MUST introduce a subquery that binds a single variable `?countK` and MUST then apply all required comparisons to `?countK` using a `FILTER` expression.
3909	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	A conforming translation MUST have the following canonical form:
3928	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	* `?countK` MUST be deterministically allocated according to §9.11.6.2.2.
3929	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	* The subquery MUST appear in the same `WHERE` block as the enclosing constraint.
3930	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	* The `FILTER` expression applying the count comparisons MUST appear immediately after the subquery.
3931	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.3 Paths and Quantifiers → SHACL-SPARQL (Total) > 9.11.6.3.2 Quantifier Semantics (Revised — `OnPathCount`)	* Other bindings or filters MUST NOT intervene between the subquery and its associated `FILTER`.
3935	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.4 SPARQL Constraint Shape	When a constraint is expressed using SHACL-SPARQL, the expansion MUST emit:
3942	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.4 SPARQL Constraint Shape	`sparqlConstraintIri` MUST be computed according to §9.6.9.
3944	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.4 SPARQL Constraint Shape	When the source constraint has a `title` or `description`, the expansion MUST emit `sh:message`.
3946	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.4 SPARQL Constraint Shape	The SPARQL query MUST be deterministic given the source constraint.
3950	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.5 Pattern Constraints (SPARQL 1.1 REGEX)	For the pattern-bearing constraints (`ValueMatchesPattern`, `PatternConstraint`, `ContentMatchesPattern`), the expansion MUST use SPARQL 1.1 `REGEX` semantics.
3952	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.5 Pattern Constraints (SPARQL 1.1 REGEX)	If `flags` is present, it MUST be projected to `sh:flags` when using `sh:pattern`, and it MUST be passed as the third argument to `REGEX` when using `sh:sparql`.
3956	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.6 `ValueIsValid` via Explicit `ValidatorDefinition`	For `ValueIsValid validatorName=$X`, expansion MUST:
3961	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.6 `ValueIsValid` via Explicit `ValidatorDefinition`	The embedding contract MUST be:
3963	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.11 Simplified Authoring Mode → Canonical Representation Expansion Algorithm (Total) > 9.11.6 ConstraintDefinitions → SHACL Constraints > 9.11.6.6 `ValueIsValid` via Explicit `ValidatorDefinition`	- The validator content MUST be a SPARQL `SELECT` query text whose results follow the SHACL-SPARQL convention (returning a row per violation with `?this`).
